,Date,DomicileCode,Domicile,ExterieurCode,Exterieur,DomicileForme,ExterieurForme,DiffForme,FAF_VictoiresDomicile,FAF_VictoiresExterieur,SemaineSaison,Mois,AnneeSaison,Cible,DomicileAvgButsMarques_Home,DomicileAvgButsEncaisses_Home,DomicileAvgButsMarques_Away,DomicileAvgButsEncaisses_Away,ExterieurAvgButsMarques_Home,ExterieurAvgButsEncaisses_Home,ExterieurAvgButsMarques_Away,ExterieurAvgButsEncaisses_Away,DiffButs
61,2016-02-13,9,Everton,31,West Brom,4,1,3,1,0,28,2,2015,0,2.076923076923077,1.6923076923076923,1.5833333333333333,1.0,1.1538461538461537,1.3846153846153846,0.6666666666666666,1.1666666666666667,1.698717948717949
62,2016-02-13,22,Norwich,32,West Ham,0,2,-2,1,0,28,2,2015,0,1.3333333333333333,1.5,0.9230769230769231,2.3076923076923075,1.6666666666666667,1.1666666666666667,1.3846153846153846,1.1538461538461537,-2.282051282051282
63,2016-02-13,27,Sunderland,19,Man United,2,4,-2,0,1,28,2,2015,1,1.0833333333333333,1.0833333333333333,1.3076923076923077,2.769230769230769,1.25,0.4166666666666667,1.3076923076923077,1.3076923076923077,-2.2948717948717947
64,2016-02-13,28,Swansea,25,Southampton,3,5,-2,0,1,28,2,2015,0,1.0,1.3076923076923077,0.9166666666666666,1.3333333333333333,1.7692307692307692,1.0,0.8333333333333334,0.9166666666666666,-1.4102564102564104
65,2016-02-14,0,Arsenal,15,Leicester,3,5,-2,1,0,28,2,2015,1,1.3333333333333333,0.5833333333333334,1.7692307692307692,1.1538461538461537,1.75,1.0833333333333333,2.0,1.0769230769230769,-0.22435897435897467
66,2016-02-14,1,Aston Villa,16,Liverpool,3,1,2,0,1,28,2,2015,0,0.8333333333333334,1.1666666666666667,0.7692307692307693,2.0,1.3333333333333333,1.4166666666666667,1.2307692307692308,1.4615384615384615,-1.25
67,2016-02-14,18,Man City,29,Tottenham,3,4,-1,0,1,28,2,2015,0,2.6153846153846154,1.1538461538461537,1.0833333333333333,0.9166666666666666,1.7692307692307692,0.6923076923076923,1.8333333333333333,0.8333333333333334,-0.44871794871794846
68,2016-02-27,31,West Brom,8,Crystal Palace,4,0,4,1,0,30,2,2015,1,1.75,1.0833333333333333,1.9285714285714286,1.1428571428571428,1.3846153846153846,1.5384615384615385,0.9230769230769231,2.3076923076923075,2.990842490842491
69,2016-02-27,30,Watford,2,Bournemouth,5,3,2,1,0,30,2,2015,0,1.7692307692307692,1.0,0.8461538461538461,0.8461538461538461,1.8571428571428572,1.5,1.0,1.25,0.6620879120879121
70,2016-02-27,32,West Ham,27,Sunderland,1,2,-1,0,1,30,2,2015,1,1.0833333333333333,1.0833333333333333,1.0,1.3571428571428572,0.7692307692307693,1.5384615384615385,0.7692307692307693,2.0,1.6428571428571428
71,2016-02-27,25,Southampton,7,Chelsea,2,3,-1,1,0,30,2,2015,0,1.0,0.8461538461538461,1.2307692307692308,1.3076923076923077,1.1538461538461537,1.6153846153846154,1.1538461538461537,1.7692307692307692,1.153846153846154
72,2016-02-27,26,Stoke,1,Aston Villa,1,1,0,1,0,30,2,2015,1,1.1538461538461537,1.3846153846153846,0.6923076923076923,1.0769230769230769,1.0714285714285714,1.3571428571428572,1.0,1.0833333333333333,-0.24633699633699635
73,2016-02-27,15,Leicester,22,Norwich,2,2,0,1,0,30,2,2015,1,1.6666666666666667,1.1666666666666667,1.4285714285714286,1.2142857142857142,1.1538461538461537,1.0769230769230769,1.3076923076923077,2.769230769230769,2.098901098901099
74,2016-02-28,29,Tottenham,28,Swansea,5,3,2,1,0,30,2,2015,1,1.7692307692307692,0.6923076923076923,1.8461538461538463,0.8461538461538461,0.9285714285714286,1.2857142857142858,0.9166666666666666,1.3333333333333333,2.850732600732601
75,2016-02-28,19,Man United,0,Arsenal,3,3,0,0,1,30,2,2015,1,1.25,0.4166666666666667,1.2857142857142858,1.3571428571428572,1.3846153846153846,0.6153846153846154,1.7692307692307692,1.1538461538461537,-0.6227106227106227
76,2016-03-01,1,Aston Villa,9,Everton,2,3,-1,0,1,30,3,2015,0,0.7692307692307693,1.5384615384615385,0.7857142857142857,2.0,1.9285714285714286,1.6428571428571428,1.5833333333333333,1.0,-2.8525641025641026
77,2016-03-01,2,Bournemouth,25,Southampton,3,4,-1,0,1,30,3,2015,1,1.1538461538461537,1.6153846153846154,1.0714285714285714,1.6428571428571428,1.7142857142857142,1.0714285714285714,0.8461538461538461,0.8461538461538461,-1.675824175824176
78,2016-03-01,15,Leicester,31,West Brom,4,2,2,1,0,30,3,2015,0,1.6923076923076923,1.0,1.9285714285714286,1.1428571428571428,1.2857142857142858,1.4285714285714286,0.6923076923076923,1.0769230769230769,2.0054945054945055
79,2016-03-01,22,Norwich,7,Chelsea,0,4,-4,0,1,30,3,2015,0,1.3846153846153846,1.5384615384615385,0.8571428571428571,2.2142857142857144,1.8571428571428572,1.5,1.0769230769230769,1.2307692307692308,-1.7142857142857146
80,2016-03-01,27,Sunderland,8,Crystal Palace,2,1,1,1,0,30,3,2015,0,1.1538461538461537,1.0769230769230769,1.2142857142857142,2.642857142857143,1.0714285714285714,1.3571428571428572,1.0769230769230769,1.2307692307692308,-0.912087912087912
81,2016-03-02,19,Man United,30,Watford,2,2,0,1,0,31,3,2015,1,1.1538461538461537,1.0769230769230769,1.0,1.3571428571428572,1.5384615384615385,1.3846153846153846,0.5384615384615384,2.3846153846153846,1.4120879120879117
82,2016-03-02,0,Arsenal,28,Swansea,3,5,-2,1,0,31,3,2015,0,1.6153846153846154,1.0769230769230769,1.4285714285714286,1.2142857142857142,1.7857142857142858,0.7142857142857143,1.8461538461538463,0.8461538461538461,-1.3186813186813187
83,2016-03-02,32,West Ham,29,Tottenham,2,3,-1,1,0,31,3,2015,1,1.3333333333333333,1.4166666666666667,1.5714285714285714,1.3571428571428572,2.5,1.2142857142857142,1.0833333333333333,0.9166666666666666,-1.3214285714285718
84,2016-03-02,16,Liverpool,18,Man City,3,2,1,1,0,31,3,2015,1,1.3846153846153846,0.5384615384615384,1.2857142857142858,1.3571428571428572,0.9285714285714286,0.7857142857142857,1.2307692307692308,1.3076923076923077,0.7087912087912087
85,2016-03-02,26,Stoke,21,Newcastle,2,2,0,0,1,31,3,2015,1,1.3846153846153846,0.6153846153846154,1.7857142857142858,1.2857142857142858,0.9285714285714286,1.2857142857142858,0.9230769230769231,1.3846153846153846,2.0879120879120876
86,2016-03-05,7,Chelsea,26,Stoke,4,3,1,0,1,31,3,2015,0,1.8571428571428572,1.5,1.1428571428571428,1.2142857142857142,1.1428571428571428,1.0,1.0,1.3571428571428572,0.5000000000000002
87,2016-03-05,9,Everton,32,West Ham,3,4,-1,1,0,31,3,2015,0,1.9285714285714286,1.6428571428571428,1.6923076923076923,1.0,1.5714285714285714,1.0,1.4285714285714286,1.2142857142857142,0.1923076923076923
88,2016-03-05,18,Man City,1,Aston Villa,2,1,1,1,0,31,3,2015,1,2.5,1.2142857142857142,1.0,1.0769230769230769,0.7857142857142857,1.6428571428571428,0.7857142857142857,2.0,3.28021978021978
89,2016-03-05,21,Newcastle,2,Bournemouth,1,3,-2,1,0,31,3,2015,0,1.5384615384615385,1.3846153846153846,0.5,2.2857142857142856,1.2142857142857142,1.5,1.0714285714285714,1.6428571428571428,-0.7747252747252744
90,2016-03-05,25,Southampton,27,Sunderland,3,2,1,1,0,31,3,2015,0,1.7142857142857142,1.0714285714285714,0.7857142857142857,0.9285714285714286,1.2142857142857142,1.1428571428571428,1.2142857142857142,2.642857142857143,1.857142857142857
91,2016-03-05,28,Swansea,22,Norwich,2,0,2,0,1,31,3,2015,1,0.9285714285714286,1.2857142857142858,1.0,1.3571428571428572,1.3571428571428572,1.5714285714285714,0.8571428571428571,2.2142857142857144,0.8571428571428572
92,2016-03-05,29,Tottenham,0,Arsenal,4,2,2,1,0,31,3,2015,0,1.7857142857142858,0.7142857142857143,1.7142857142857142,0.8571428571428571,1.3571428571428572,0.7142857142857143,1.7857142857142858,1.2857142857142858,0.7857142857142854
93,2016-03-05,30,Watford,15,Leicester,1,3,-2,0,1,31,3,2015,0,0.9285714285714286,0.7857142857142857,1.1428571428571428,1.2857142857142858,1.7142857142857142,1.0714285714285714,1.9285714285714286,1.1428571428571428,-1.4285714285714286
94,2016-03-06,8,Crystal Palace,16,Liverpool,2,3,-1,1,0,31,3,2015,0,1.0714285714285714,1.3571428571428572,1.1428571428571428,1.2857142857142858,1.4615384615384615,1.3076923076923077,1.5714285714285714,1.3571428571428572,-0.7967032967032968
95,2016-03-06,31,West Brom,19,Man United,3,4,-1,0,1,31,3,2015,1,1.2857142857142858,1.4285714285714286,0.7857142857142857,1.1428571428571428,1.3571428571428572,0.5,1.2857142857142858,1.3571428571428572,-1.285714285714286
96,2016-03-12,22,Norwich,18,Man City,3,2,1,0,1,32,3,2015,0,1.2142857142857142,1.5,1.2,1.6,0.9333333333333333,1.2,1.0,1.3571428571428572,-0.06190476190476213
97,2016-03-12,2,Bournemouth,28,Swansea,0,2,-2,1,0,32,3,2015,1,1.3571428571428572,1.5714285714285714,0.8,2.1333333333333333,2.6,1.1333333333333333,1.0,1.0769230769230769,-2.9373626373626376
98,2016-03-12,26,Stoke,25,Southampton,4,2,2,1,0,32,3,2015,0,1.1428571428571428,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0666666666666667,0.7857142857142857,0.9285714285714286,-0.6476190476190475
99,2016-03-13,1,Aston Villa,29,Tottenham,1,3,-2,0,1,32,3,2015,0,0.7857142857142857,1.6428571428571428,0.7333333333333333,2.1333333333333333,1.8,0.8,1.7142857142857142,0.8571428571428571,-4.114285714285714
100,2016-03-14,15,Leicester,21,Newcastle,3,1,2,1,0,32,3,2015,1,1.7142857142857142,1.0714285714285714,1.8666666666666667,1.0666666666666667,1.5,1.5,0.5,2.2857142857142856,3.2285714285714286
101,2016-03-19,7,Chelsea,32,West Ham,3,4,-1,0,1,33,3,2015,0,1.8,1.4666666666666666,1.1428571428571428,1.2142857142857142,1.5714285714285714,1.0,1.5333333333333334,1.2666666666666666,-0.5761904761904761
102,2016-03-19,8,Crystal Palace,15,Leicester,2,3,-1,0,1,33,3,2015,0,1.0666666666666667,1.4,1.1428571428571428,1.2857142857142858,1.6666666666666667,1.0,1.8666666666666667,1.0666666666666667,-1.9428571428571428
103,2016-03-19,9,Everton,0,Arsenal,3,3,0,0,1,33,3,2015,0,1.9333333333333333,1.7333333333333334,1.6923076923076923,1.0,1.3571428571428572,0.7142857142857143,1.8,1.3333333333333333,-0.21721611721611755
104,2016-03-19,28,Swansea,1,Aston Villa,2,0,2,1,0,33,3,2015,1,0.9333333333333333,1.2,1.0666666666666667,1.4666666666666666,0.7333333333333333,1.6666666666666667,0.7333333333333333,2.1333333333333333,1.666666666666667
105,2016-03-19,30,Watford,26,Stoke,1,4,-3,1,0,33,3,2015,0,0.8666666666666667,0.8,1.1428571428571428,1.2857142857142858,1.1333333333333333,1.0666666666666667,1.0,1.3333333333333333,0.19047619047619024
106,2016-03-19,31,West Brom,22,Norwich,4,0,4,1,0,33,3,2015,0,1.2666666666666666,1.3333333333333333,0.7857142857142857,1.1428571428571428,1.2666666666666666,1.4666666666666666,0.8,2.1333333333333333,1.1095238095238096
107,2016-03-20,18,Man City,19,Man United,2,3,-1,1,0,33,3,2015,0,2.6,1.1333333333333333,0.9285714285714286,1.0,1.3571428571428572,0.5,1.2,1.3333333333333333,0.6714285714285719
108,2016-03-20,21,Newcastle,27,Sunderland,1,3,-2,0,1,33,3,2015,0,1.5,1.5,0.4666666666666667,2.2,1.2142857142857142,1.1428571428571428,1.2,2.533333333333333,-0.47142857142857153
109,2016-03-20,25,Southampton,16,Liverpool,2,3,-1,1,0,33,3,2015,1,1.6666666666666667,1.0666666666666667,0.8666666666666667,0.9333333333333333,1.4615384615384615,1.3076923076923077,1.6,1.3333333333333333,0.11282051282051286
110,2016-03-20,29,Tottenham,2,Bournemouth,3,4,-1,1,0,33,3,2015,1,1.8,0.8,1.7333333333333334,0.8,1.3333333333333333,1.5333333333333334,1.2,1.6,2.5333333333333337
111,2016-04-02,22,Norwich,21,Newcastle,3,1,2,1,0,35,4,2015,1,1.3571428571428572,0.7142857142857143,1.8125,1.25,0.875,0.875,1.1428571428571428,1.2857142857142858,1.3482142857142858
112,2016-04-02,27,Sunderland,31,West Brom,0,3,-3,0,1,35,4,2015,0,0.7333333333333333,1.6666666666666667,0.6875,2.0625,1.8125,1.5,1.1428571428571428,1.2142857142857142,-2.5494047619047624
113,2016-04-02,26,Stoke,28,Swansea,4,2,2,1,0,35,4,2015,0,1.3333333333333333,1.5333333333333334,1.125,1.6875,2.4375,1.125,0.9285714285714286,1.0,-2.003571428571429
